"Title","Year","Rating","Runtime","Classification"
"1. The Shawshank Redemption",1994,9.3,120,"R"
"2. The Godfather",1972,9.2,120,"u 18+"
"3. The Dark Knight",2008,9,120,"u 13+"
"4. The Godfather Part II",1974,9,180,"u 18+"
"5. 12 Angry Men",1957,9,60,"G"
"6. Schindler's List",1993,9,180,"R"
"7. The Lord of the Rings: The Return of the King",2003,9,180,"u 13+"
"8. Pulp Fiction",1994,8.9,120,"R"
"9. The Lord of the Rings: The Fellowship of the Ring",2001,8.9,120,"u 13+"
"10. The Good, the Bad and the Ugly",1966,8.8,120,"u 18+"
"11. Forrest Gump",1994,8.8,120,"u 13+"
"12. The Lord of the Rings: The Two Towers",2002,8.8,120,"u 13+"
"13. Fight Club",1999,8.8,120,"18"
"14. Inception",2010,8.8,120,"u 13+"
"15. Star Wars: Episode V - The Empire Strikes Back",1980,8.7,120,"PG"
"16. The Matrix",1999,8.7,120,"G"
"17. GoodFellas",1990,8.7,120,"u 15+"
"18. One Flew Over the Cuckoo's Nest",1975,8.7,120,"R"
"19. Interstellar",2014,8.7,120,"G"
"20. Se7en",1995,8.6,120,"u 18+"
"21. It's a Wonderful Life",1946,8.6,120,"PG"
"22. Seven Samurai",1954,8.6,180,"Not Rated"
"23. The Silence of the Lambs",1991,8.6,60,"u 18+"
"24. Saving Private Ryan",1998,8.6,120,"16+"
"25. City of God",2002,8.6,120,"R"
